Symptom Name,Synonyms,Description,Body Systems Affected,Frequency
Progressive neurologic deterioration,"Neurologic deterioration; Neurologic deterioration, progressive; Progressive mental deterioration; Progressive neurodegeneration; Worsening neurological symptoms",Not specified,nervous system,Frequent (30-79%)
Hyperkinetic movements,Hyperkinesia; Hyperkinesis; Muscle spasms,Motor hyperactivity with excessive movement of muscles of the body as a whole.,nervous system,Occasional (5-29%)
Olivopontocerebellar atrophy,Olivopontocerebellar degeneration,"Neuronal degeneration in the cerebellum, pontine nuclei, and inferior olivary nucleus.",nervous system,Occasional (5-29%)
Respiratory failure,Respiratory failure,A severe form of respiratory insufficiency characterized by inadequate gas exchange such that the levels of oxygen or carbon dioxide cannot be maintained within normal limits.,respiratory system,Occasional (5-29%)
Myopathy,Muscle tissue disease; Myopathic changes,A disorder of muscle unrelated to impairment of innervation or neuromuscular junction.,musculoskeletal system,Occasional (5-29%)
Peripheral neuropathy,Peripheral nerve damage; Peripheral neuritis,"Peripheral neuropathy is a general term for any disorder of the peripheral nervous system. The main clinical features used to classify peripheral neuropathy are distribution, type (mainly demyelinating versus mainly axonal), duration, and course.",nervous system,Occasional (5-29%)
Frontal hirsutism,Hairy forehead; Hirsute forehead,Excessive amount of hair growth on forehead.,head or neck; integument,Uncommon (<1-4%)
Feeding difficulties,Feeding difficulties; Feeding problems; Poor feeding,"Impaired ability to eat related to problems gathering food and getting ready to suck, chew, or swallow it.",digestive system,Frequent (30-79%)
Infantile spasms,Not specified,"Infantile spasms represent a subset of \""epileptic spasms\"". Infantile Spasms are epileptic spasms starting in the first year of life (infancy).",nervous system,Uncommon (<1-4%)
Abnormal dentate nucleus morphology,Abnormality of the dentate nucleus,An abnormality of the dentate nucleus.,nervous system,Frequent (30-79%)
High forehead,High forehead,An abnormally increased height of the forehead.,head or neck,Uncommon (<1-4%)
Sensorineural hearing impairment,"Hearing loss, sensorineural; Sensorineural deafness; Sensorineural hearing loss",A type of hearing impairment in one or both ears related to an abnormal functionality of the cochlear nerve.,ear,Frequent (30-79%)
Cataract,Cataracts; Clouding of the lens of the eye; Cloudy lens; Lens opacities; Lens opacity,A cataract is an opacity or clouding that develops in the crystalline lens of the eye or in its capsule.,eye,Uncommon (<1-4%)
Abnormality of the optic nerve,optic nerve abnormalities; Optic nerve issue,Abnormality of the optic nerve.,eye,Frequent (30-79%)
Hypertrichosis,Not specified,Hypertrichosis is increased hair growth that is abnormal in quantity or location.,integument,Frequent (30-79%)
Seizure,Epileptic seizure; Seizures,A seizure is an intermittent abnormality of nervous system physiology characterised by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain.,nervous system,Occasional (5-29%)
Muscle weakness,Muscle weakness; Muscular weakness,Reduced strength of muscles.,musculoskeletal system,Occasional (5-29%)
Alopecia,Hair loss,"A noncongenital process of hair loss, which may progress to partial or complete baldness.",integument,Uncommon (<1-4%)
Athetosis,"Athetoid movements; Involuntary writhing movements; Involuntary writhing movements in fingers, hands, toes, and feet","A slow, continuous, involuntary writhing movement that prevents maintenance of a stable posture. Athetosis involves continuous smooth movements that appear random and are not composed of recognizable sub-movements or movement fragments. In contrast to chorea, in athetosis, the same regions of the body are repeatedly involved. Athetosis may worsen with attempts at movement of posture, but athetosis can also occur at rest.",nervous system,Occasional (5-29%)
Developmental regression,"Loss of developmental milestones; Mental deterioration in childhood; Neurodevelopmental regression; Psychomotor regression; Psychomotor regression beginning in infancy; Psychomotor regression in infants; Psychomotor regression, progressive","Loss of developmental skills, as manifested by loss of developmental milestones.",nervous system,Frequent (30-79%)
Upper motor neuron dysfunction,Corticospinal tract dysfunction; Pyramidal tract dysfunction,"A functional anomaly of the upper motor neuron. The upper motor neurons are neurons of the primary motor cortex which project to the brainstem and spinal chord via the corticonuclear, corticobulbar and corticospinal (pyramidal) tracts. They are involved in control of voluntary movements. Dysfunction leads to weakness, impairment of fine motor movements, spasticity, hyperreflexia and abnormal pyramidal signs.",nervous system,Frequent (30-79%)
Gastrointestinal dysmotility,GI dysmotility,"Abnormal intestinal contractions, such as spasms and intestinal paralysis, related to the loss of the ability of the gut to coordinate muscular activity because of endogenous or exogenous causes.",digestive system,Uncommon (<1-4%)
Abnormal pattern of respiration,Abnormal pattern of respiration; Abnormal respiratory patterns; Unusual breathing patterns,An anomaly of the rhythm or depth of breathing.,respiratory system,Occasional (5-29%)
Multiple joint contractures,Not specified,Not specified,musculoskeletal system,Occasional (5-29%)
Skeletal muscle atrophy,"Amyotrophy; Amyotrophy involving the extremities; Muscle atrophy; Muscle atrophy, neurogenic; Muscle degeneration; Muscle hypotrophy; Muscle wasting; Muscular atrophy; Neurogenic muscle atrophy; Neurogenic muscle atrophy, especially in the lower limbs; Neurogenic muscular atrophy",The presence of skeletal muscular atrophy (which is also known as amyotrophy).,musculoskeletal system,Occasional (5-29%)
Infantile muscular hypotonia,"Decreased muscle tone in infant; Hypotonia early; Hypotonia in infancy; Hypotonia, early; Infantile hypotonia",Muscular hypotonia (abnormally low muscle tone) manifesting in infancy.,musculoskeletal system,Very frequent (80-99%)
Dyskinesia,Disorder of involuntary muscle movements; Dyskinesis,A movement disorder which consists of effects including diminished voluntary movements and the presence of involuntary movements.,nervous system,Uncommon (<1-4%)
Brain imaging abnormality,Abnormal brain imaging,An anomaly of metabolism or structure of the brain identified by imaging.,nervous system,Frequent (30-79%)
